,Country/Currency,currency,value,date
5424,Botswana Pula,BWP,13.036371,22/01/2022
5425,Brazil Real,BRL,6.192763,22/01/2022
5426,Brunei Dollar,BND,1.526909,22/01/2022
5427,Bulgaria Lev,BGN,1.956072,22/01/2022
5428,Burundi Franc,BIF,2281.429212,22/01/2022
5429,CFA Franc BCEAO,XOF,656.29787,22/01/2022
5430,CFA Franc BEAC,XAF,656.993615,22/01/2022
5431,CFP Franc,XPF,119.630801,22/01/2022
5432,Cambodia Riel,KHR,4617.313621,22/01/2022
5433,Canada Dollar,CAD,1.427175,22/01/2022
5434,Cape Verde Escudo,CVE,110.555035,22/01/2022
5435,Cayman Islands Dollar,KYD,0.945721,22/01/2022
5436,Chili Peso,CLP,906.40059,22/01/2022
5437,China Yuan/Renminbi,CNY,7.191215,22/01/2022
5438,Colombia Peso,COP,4488.504932,22/01/2022
5439,Comoros Franc,KMF,492.419307,22/01/2022
5440,Congo Franc,CDF,2287.101997,22/01/2022
5441,Costa Rica Colon,CRC,720.270105,22/01/2022
5442,Croatia Kuna,HRK,7.532351,22/01/2022
5443,Cuba Convertible Peso,CUC,1.134475,22/01/2022
5444,Cuba Peso,CUP,30.063587,22/01/2022
5445,Czech Koruna,CZK,24.408575,22/01/2022
5446,Denmark Krone,DKK,7.444316,22/01/2022
5447,Djibouti Franc,DJF,201.619342,22/01/2022
5448,Dominican Republich Peso,DOP,65.577064,22/01/2022
5449,East Caribbean Dollar,XCD,3.065976,22/01/2022
5450,Egypt Pound,EGP,17.820623,22/01/2022
5451,El Salvador Colon,SVC,9.92958,22/01/2022
5452,Ethiopia Birr,ETB,56.274357,22/01/2022
5453,Falkland Islands Pound,FKP,0.825807,22/01/2022
5454,Fiji Dollar,FJD,2.411939,22/01/2022
5455,Gambia Dalasi,GMD,59.730551,22/01/2022
5456,Georgia Lari,GEL,3.483282,22/01/2022
5457,Ghana New Cedi,GHS,7.090912,22/01/2022
5458,Gibraltar Pound,GIP,0.825807,22/01/2022
5459,Guatemala Quetzal,GTQ,8.743318,22/01/2022
5460,Guinea Franc,GNF,10249.981968,22/01/2022
5461,Guyana Dollar,GYD,237.302328,22/01/2022
5462,Haiti Gourde,HTG,116.054089,22/01/2022
5463,Honduras Lempira,HNL,27.823044,22/01/2022
5464,Hong Kong Dollar,HKD,8.833481,22/01/2022
5465,Hungary Forint,HUF,358.658642,22/01/2022
5466,Iceland Krona,ISK,145.621648,22/01/2022
5467,India Rupee,INR,84.42814,22/01/2022
5468,Indonesia Rupiah,IDR,16256.743036,22/01/2022
5469,Iran Rial,IRR,47959.930743,22/01/2022
5470,Iraq Dinar,IQD,1655.766253,22/01/2022
5471,Israel New Shekel,ILS,3.563477,22/01/2022
5472,Jamaica Dollar,JMD,176.610107,22/01/2022
5473,Jordan Dinar,JOD,0.804388,22/01/2022
5474,Kazakhstan Tenge,KZT,494.870815,22/01/2022
5475,Kenya Shilling,KES,128.820072,22/01/2022
5476,Kuwait Dinar,KWD,0.342975,22/01/2022
5477,Kyrgyzstan Som,KGS,96.199286,22/01/2022
5478,Laos Kip,LAK,12866.652427,22/01/2022
5479,Lebanon Pound,LBP,1709.572623,22/01/2022
5480,Lesotho Loti,LSL,17.102255,22/01/2022
5481,Liberia Dollar,LRD,171.763796,22/01/2022
5482,Libya Dinar,LYD,5.201612,22/01/2022
5483,Macau Pataca,MOP,9.102963,22/01/2022
5484,Macedonia Denar,MKD,61.711826,22/01/2022
5485,Malagasy Ariary,MGA,4543.572742,22/01/2022
5486,Malawi Kwacha,MWK,925.731986,22/01/2022
5487,Malaysia Ringgit,MYR,4.749484,22/01/2022
5488,Maldives Rufiyaa,MVR,17.550757,22/01/2022
5489,Mauritania Ouguiya,MRO,405.007377,22/01/2022
5490,Mauritius Rupee,MUR,49.550609,22/01/2022
5491,Mexico Peso,MXN,23.227132,22/01/2022
5492,Moldova Leu,MDL,20.482537,22/01/2022
5493,Mongolia Tugrik,MNT,3243.272466,22/01/2022
5494,Morocco Dirham,MAD,10.525096,22/01/2022
5495,Mozambique New Metical,MZN,72.413967,22/01/2022
5496,Myanmar Kyat,MMK,2017.630951,22/01/2022
5497,NL Antilles Guilder,ANG,2.045109,22/01/2022
5498,Namibia Dollar,NAD,17.102254,22/01/2022
5499,Nepal Rupee,NPR,135.073121,22/01/2022
5500,New Zealand Dollar,NZD,1.68713,22/01/2022
5501,Nicaragua Cordoba Oro,NIO,40.200165,22/01/2022
5502,Nigeria Naira,NGN,470.750826,22/01/2022
5503,North Korea Won,KPW,1021.027672,22/01/2022
5504,Norway Kroner,NOK,10.070082,22/01/2022
5505,Oman Rial,OMR,0.436567,22/01/2022
5506,Pakistan Rupee,PKR,200.093071,22/01/2022
5507,Panama Balboa,PAB,1.13478,22/01/2022
5508,Papua New Guinea Kina,PGK,3.976379,22/01/2022
5509,Paraguay Guarani,PYG,7913.329919,22/01/2022
5510,Peru Nuevo Sol,PEN,4.348486,22/01/2022
5511,Philippines Peso,PHP,58.153613,22/01/2022
5512,Poland Zloty,PLN,4.531184,22/01/2022
5513,Qatar Rial,QAR,4.130667,22/01/2022
5514,Romania New Lei,RON,4.946735,22/01/2022
5515,Russia Rouble,RUB,88.02426,22/01/2022
5516,Rwanda Franc,RWF,1151.492118,22/01/2022
5517,Samoa Tala,WST,2.963638,22/01/2022
5518,Sao Tome/Principe Dobra,STD,23481.341866,22/01/2022
5519,Saudi Arabia Riyal,SAR,4.255407,22/01/2022
5520,Serbia Dinar,RSD,117.582716,22/01/2022
5521,Seychelles Rupee,SCR,15.083141,22/01/2022
5522,Sierra Leone Leone,SLL,12853.602059,22/01/2022
5523,Singapore Dollar,SGD,1.525591,22/01/2022
5524,Solomon Islands Dollar,SBD,9.152755,22/01/2022
5525,Somali Shilling,SOS,663.668255,22/01/2022
5526,South Africa Rand,ZAR,17.132052,22/01/2022
5527,South Korea Won,KRW,1352.979178,22/01/2022
5528,Sri Lanka Rupee,LKR,229.79207,22/01/2022
5529,St Helena Pound,SHP,1.56263,22/01/2022
5530,Sudan Pound,SDG,496.336982,22/01/2022
5531,Suriname Dollar,SRD,23.940263,22/01/2022
5532,Swaziland Lilangeni,SZL,17.102254,22/01/2022
5533,Sweden Krona,SEK,10.424809,22/01/2022
5534,Syria Pound,SYP,2849.800929,22/01/2022
5535,Taiwan Dollar,TWD,31.431995,22/01/2022
5536,Tanzania Shilling,TZS,2620.637615,22/01/2022
5537,Thailand Baht,THB,37.337884,22/01/2022
5538,Tonga Pa'anga,TOP,2.572933,22/01/2022
5539,Trinidad/Tobago Dollar,TTD,7.700482,22/01/2022
5540,Tunisia Dinar,TND,3.261053,22/01/2022
5541,Turkish New Lira,TRY,15.257218,22/01/2022
5542,Uganda Shilling,UGX,3994.367169,22/01/2022
5543,Ukraine Hryvnia,UAH,32.129311,22/01/2022
5544,Uruguay Peso,UYU,50.674518,22/01/2022
5545,United Arab Emirates Dirham,AED,4.166974,22/01/2022
5546,Vanuatu Vatu,VUV,128.957377,22/01/2022
5547,Vietnam Dong,VND,25673.169099,22/01/2022
5548,Yemen Rial,YER,283.90278,22/01/2022
5549,Zambia Kwacha,ZMK,10211.640386,22/01/2022
5550,Australia Dollar,AUD,1.579236,23/01/2022
5551,Great Britain Pound,GBP,0.836942,23/01/2022
5552,Euro,EUR,1.0,23/01/2022
5553,Japan Yen,JPY,128.954075,23/01/2022
5554,Switzerland Franc,CHF,1.034313,23/01/2022
5555,USA Dollar,USD,1.134475,23/01/2022
5556,Afghanistan Afghani,AFN,119.23785,23/01/2022
5557,Albania Lek,ALL,121.672901,23/01/2022
5558,Algeria Dinar,DZD,158.832898,23/01/2022
5559,Angola Kwanza,AOA,601.157211,23/01/2022
5560,Argentina Peso,ARS,118.325675,23/01/2022
5561,Armenia Dram,AMD,546.953541,23/01/2022
5562,Aruba Florin,AWG,2.036383,23/01/2022
5563,Azerbaijan New Manat,AZN,1.933111,23/01/2022
5564,Bahamas Dollar,BSD,1.13478,23/01/2022
5565,Bahrain Dinar,BHD,0.427419,23/01/2022
5566,Bangladesh Taka,BDT,97.522573,23/01/2022
5567,Barbados Dollar,BBD,2.291195,23/01/2022
5568,Belarus Ruble,BYR,22235.709869,23/01/2022
5569,Belize Dollar,BZD,2.287389,23/01/2022
5570,Bermuda Dollar,BMD,1.134475,23/01/2022
5571,Bhutan Ngultrum,BTN,84.420901,23/01/2022
5572,Bolivia Boliviano,BOB,7.824176,23/01/2022
5573,Bosnia Mark,BAM,1.958904,23/01/2022
5574,Botswana Pula,BWP,13.036371,23/01/2022
5575,Brazil Real,BRL,6.192763,23/01/2022
5576,Brunei Dollar,BND,1.526909,23/01/2022
5577,Bulgaria Lev,BGN,1.956072,23/01/2022
5578,Burundi Franc,BIF,2281.429212,23/01/2022
5579,CFA Franc BCEAO,XOF,656.29787,23/01/2022
5580,CFA Franc BEAC,XAF,656.993615,23/01/2022
5581,CFP Franc,XPF,119.630801,23/01/2022
5582,Cambodia Riel,KHR,4617.313621,23/01/2022
5583,Canada Dollar,CAD,1.427175,23/01/2022
5584,Cape Verde Escudo,CVE,110.555035,23/01/2022
5585,Cayman Islands Dollar,KYD,0.945721,23/01/2022
5586,Chili Peso,CLP,906.40059,23/01/2022
5587,China Yuan/Renminbi,CNY,7.191215,23/01/2022
5588,Colombia Peso,COP,4488.504932,23/01/2022
5589,Comoros Franc,KMF,492.419307,23/01/2022
5590,Congo Franc,CDF,2287.101997,23/01/2022
5591,Costa Rica Colon,CRC,720.270105,23/01/2022
5592,Croatia Kuna,HRK,7.532351,23/01/2022
5593,Cuba Convertible Peso,CUC,1.134475,23/01/2022
5594,Cuba Peso,CUP,30.063587,23/01/2022
5595,Czech Koruna,CZK,24.408575,23/01/2022
5596,Denmark Krone,DKK,7.444316,23/01/2022
5597,Djibouti Franc,DJF,201.619342,23/01/2022
5598,Dominican Republich Peso,DOP,65.577064,23/01/2022
5599,East Caribbean Dollar,XCD,3.065976,23/01/2022
5600,Egypt Pound,EGP,17.820623,23/01/2022
5601,El Salvador Colon,SVC,9.92958,23/01/2022
5602,Ethiopia Birr,ETB,56.274357,23/01/2022
5603,Falkland Islands Pound,FKP,0.825807,23/01/2022
5604,Fiji Dollar,FJD,2.411939,23/01/2022
5605,Gambia Dalasi,GMD,59.730551,23/01/2022
5606,Georgia Lari,GEL,3.483282,23/01/2022
5607,Ghana New Cedi,GHS,7.090912,23/01/2022
5608,Gibraltar Pound,GIP,0.825807,23/01/2022
5609,Guatemala Quetzal,GTQ,8.743318,23/01/2022
5610,Guinea Franc,GNF,10249.981968,23/01/2022
5611,Guyana Dollar,GYD,237.302328,23/01/2022
5612,Haiti Gourde,HTG,116.054089,23/01/2022
5613,Honduras Lempira,HNL,27.823044,23/01/2022
5614,Hong Kong Dollar,HKD,8.833481,23/01/2022
5615,Hungary Forint,HUF,358.658642,23/01/2022
5616,Iceland Krona,ISK,145.621648,23/01/2022
5617,India Rupee,INR,84.42814,23/01/2022
5618,Indonesia Rupiah,IDR,16256.743036,23/01/2022
5619,Iran Rial,IRR,47959.930743,23/01/2022
5620,Iraq Dinar,IQD,1655.766253,23/01/2022
5621,Israel New Shekel,ILS,3.563477,23/01/2022
5622,Jamaica Dollar,JMD,176.610107,23/01/2022
5623,Jordan Dinar,JOD,0.804388,23/01/2022
5624,Kazakhstan Tenge,KZT,494.870815,23/01/2022
5625,Kenya Shilling,KES,128.820072,23/01/2022
5626,Kuwait Dinar,KWD,0.342975,23/01/2022
5627,Kyrgyzstan Som,KGS,96.199286,23/01/2022
5628,Laos Kip,LAK,12866.652427,23/01/2022
5629,Lebanon Pound,LBP,1709.572623,23/01/2022
5630,Lesotho Loti,LSL,17.102255,23/01/2022
5631,Liberia Dollar,LRD,171.763796,23/01/2022
5632,Libya Dinar,LYD,5.201612,23/01/2022
5633,Macau Pataca,MOP,9.102963,23/01/2022
5634,Macedonia Denar,MKD,61.711826,23/01/2022
5635,Malagasy Ariary,MGA,4543.572742,23/01/2022
5636,Malawi Kwacha,MWK,925.731986,23/01/2022
5637,Malaysia Ringgit,MYR,4.749484,23/01/2022
5638,Maldives Rufiyaa,MVR,17.550757,23/01/2022
5639,Mauritania Ouguiya,MRO,405.007377,23/01/2022
5640,Mauritius Rupee,MUR,49.550609,23/01/2022
5641,Mexico Peso,MXN,23.227132,23/01/2022
5642,Moldova Leu,MDL,20.482537,23/01/2022
5643,Mongolia Tugrik,MNT,3243.272466,23/01/2022
5644,Morocco Dirham,MAD,10.525096,23/01/2022
5645,Mozambique New Metical,MZN,72.413967,23/01/2022
5646,Myanmar Kyat,MMK,2017.630951,23/01/2022
5647,NL Antilles Guilder,ANG,2.045109,23/01/2022
5648,Namibia Dollar,NAD,17.102254,23/01/2022
5649,Nepal Rupee,NPR,135.073121,23/01/2022
5650,New Zealand Dollar,NZD,1.68713,23/01/2022
5651,Nicaragua Cordoba Oro,NIO,40.200165,23/01/2022
5652,Nigeria Naira,NGN,470.750826,23/01/2022
5653,North Korea Won,KPW,1021.027672,23/01/2022
5654,Norway Kroner,NOK,10.070082,23/01/2022
5655,Oman Rial,OMR,0.436567,23/01/2022
5656,Pakistan Rupee,PKR,200.093071,23/01/2022
5657,Panama Balboa,PAB,1.13478,23/01/2022
5658,Papua New Guinea Kina,PGK,3.976379,23/01/2022
5659,Paraguay Guarani,PYG,7913.329919,23/01/2022
5660,Peru Nuevo Sol,PEN,4.348486,23/01/2022
5661,Philippines Peso,PHP,58.153613,23/01/2022
5662,Poland Zloty,PLN,4.531184,23/01/2022
5663,Qatar Rial,QAR,4.130667,23/01/2022
5664,Romania New Lei,RON,4.946735,23/01/2022
5665,Russia Rouble,RUB,88.02426,23/01/2022
5666,Rwanda Franc,RWF,1151.492118,23/01/2022
5667,Samoa Tala,WST,2.963638,23/01/2022
5668,Sao Tome/Principe Dobra,STD,23481.341866,23/01/2022
5669,Saudi Arabia Riyal,SAR,4.255407,23/01/2022
5670,Serbia Dinar,RSD,117.582716,23/01/2022
5671,Seychelles Rupee,SCR,15.083141,23/01/2022
5672,Sierra Leone Leone,SLL,12853.602059,23/01/2022
5673,Singapore Dollar,SGD,1.525591,23/01/2022
5674,Solomon Islands Dollar,SBD,9.152755,23/01/2022
5675,Somali Shilling,SOS,663.668255,23/01/2022
5676,South Africa Rand,ZAR,17.132052,23/01/2022
5677,South Korea Won,KRW,1352.979178,23/01/2022
5678,Sri Lanka Rupee,LKR,229.79207,23/01/2022
5679,St Helena Pound,SHP,1.56263,23/01/2022
5680,Sudan Pound,SDG,496.336982,23/01/2022
5681,Suriname Dollar,SRD,23.940263,23/01/2022
5682,Swaziland Lilangeni,SZL,17.102254,23/01/2022
5683,Sweden Krona,SEK,10.424809,23/01/2022
5684,Syria Pound,SYP,2849.800929,23/01/2022
5685,Taiwan Dollar,TWD,31.431995,23/01/2022
5686,Tanzania Shilling,TZS,2620.637615,23/01/2022
5687,Thailand Baht,THB,37.337884,23/01/2022
5688,Tonga Pa'anga,TOP,2.572933,23/01/2022
5689,Trinidad/Tobago Dollar,TTD,7.700482,23/01/2022
5690,Tunisia Dinar,TND,3.261053,23/01/2022
5691,Turkish New Lira,TRY,15.257218,23/01/2022
5692,Uganda Shilling,UGX,3994.367169,23/01/2022
5693,Ukraine Hryvnia,UAH,32.129311,23/01/2022
5694,Uruguay Peso,UYU,50.674518,23/01/2022
5695,United Arab Emirates Dirham,AED,4.166974,23/01/2022
5696,Vanuatu Vatu,VUV,128.957377,23/01/2022
5697,Vietnam Dong,VND,25673.169099,23/01/2022
5698,Yemen Rial,YER,283.90278,23/01/2022
5699,Zambia Kwacha,ZMK,10211.640386,23/01/2022
5700,Australia Dollar,AUD,1.578611,24/01/2022
5701,Great Britain Pound,GBP,0.8362,24/01/2022
5702,Euro,EUR,1.0,24/01/2022
5703,Japan Yen,JPY,129.060984,24/01/2022
5704,Switzerland Franc,CHF,1.035117,24/01/2022
5705,USA Dollar,USD,1.133703,24/01/2022
5706,Afghanistan Afghani,AFN,119.153303,24/01/2022
5707,Albania Lek,ALL,121.589338,24/01/2022
5708,Algeria Dinar,DZD,158.724856,24/01/2022
5709,Angola Kwanza,AOA,600.748203,24/01/2022
5710,Argentina Peso,ARS,118.348966,24/01/2022
5711,Armenia Dram,AMD,546.580929,24/01/2022
5712,Aruba Florin,AWG,2.034997,24/01/2022
5713,Azerbaijan New Manat,AZN,1.929482,24/01/2022
5714,Bahamas Dollar,BSD,1.134009,24/01/2022
5715,Bahrain Dinar,BHD,0.427128,24/01/2022
5716,Bangladesh Taka,BDT,97.456236,24/01/2022
5717,Barbados Dollar,BBD,2.289636,24/01/2022
5718,Belarus Ruble,BYR,22220.584651,24/01/2022
5719,Belize Dollar,BZD,2.285833,24/01/2022
5720,Bermuda Dollar,BMD,1.133703,24/01/2022
5721,Bhutan Ngultrum,BTN,84.363476,24/01/2022
5722,Bolivia Boliviano,BOB,7.818854,24/01/2022
5723,Bosnia Mark,BAM,1.957571,24/01/2022
5724,Botswana Pula,BWP,13.027504,24/01/2022
5725,Brazil Real,BRL,6.190077,24/01/2022
5726,Brunei Dollar,BND,1.525871,24/01/2022
5727,Bulgaria Lev,BGN,1.954742,24/01/2022
5728,Burundi Franc,BIF,2279.877333,24/01/2022
5729,CFA Franc BCEAO,XOF,655.845998,24/01/2022
5730,CFA Franc BEAC,XAF,656.546714,24/01/2022
5731,CFP Franc,XPF,119.54921,24/01/2022
5732,Cambodia Riel,KHR,4614.172464,24/01/2022
5733,Canada Dollar,CAD,1.424991,24/01/2022
5734,Cape Verde Escudo,CVE,110.479367,24/01/2022
5735,Cayman Islands Dollar,KYD,0.945078,24/01/2022
5736,Chili Peso,CLP,905.783277,24/01/2022
5737,China Yuan/Renminbi,CNY,7.186545,24/01/2022
5738,Colombia Peso,COP,4485.451752,24/01/2022
5739,Comoros Franc,KMF,492.084197,24/01/2022
5740,Congo Franc,CDF,2285.545971,24/01/2022
5741,Costa Rica Colon,CRC,719.780162,24/01/2022
5742,Croatia Kuna,HRK,7.527226,24/01/2022
5743,Cuba Convertible Peso,CUC,1.133703,24/01/2022
5744,Cuba Peso,CUP,30.043137,24/01/2022
5745,Czech Koruna,CZK,24.393102,24/01/2022
5746,Denmark Krone,DKK,7.443782,24/01/2022
5747,Djibouti Franc,DJF,201.481848,24/01/2022
5748,Dominican Republich Peso,DOP,65.529585,24/01/2022
5749,East Caribbean Dollar,XCD,3.06389,24/01/2022
5750,Egypt Pound,EGP,17.823287,24/01/2022
5751,El Salvador Colon,SVC,9.922825,24/01/2022
5752,Ethiopia Birr,ETB,56.23252,24/01/2022
5753,Falkland Islands Pound,FKP,0.825245,24/01/2022
5754,Fiji Dollar,FJD,2.410198,24/01/2022
5755,Gambia Dalasi,GMD,59.689141,24/01/2022
5756,Georgia Lari,GEL,3.480507,24/01/2022
5757,Ghana New Cedi,GHS,7.085811,24/01/2022
5758,Gibraltar Pound,GIP,0.825245,24/01/2022
5759,Guatemala Quetzal,GTQ,8.737371,24/01/2022
5760,Guinea Franc,GNF,10243.009556,24/01/2022
5761,Guyana Dollar,GYD,237.14091,24/01/2022
5762,Haiti Gourde,HTG,115.975147,24/01/2022
5763,Honduras Lempira,HNL,27.804049,24/01/2022
5764,Hong Kong Dollar,HKD,8.82906,24/01/2022
5765,Hungary Forint,HUF,358.261253,24/01/2022
5766,Iceland Krona,ISK,145.589815,24/01/2022
5767,India Rupee,INR,84.324707,24/01/2022
5768,Indonesia Rupiah,IDR,16241.433454,24/01/2022
5769,Iran Rial,IRR,47927.30707,24/01/2022
5770,Iraq Dinar,IQD,1654.639964,24/01/2022
5771,Israel New Shekel,ILS,3.561246,24/01/2022
5772,Jamaica Dollar,JMD,176.489973,24/01/2022
5773,Jordan Dinar,JOD,0.803856,24/01/2022
5774,Kazakhstan Tenge,KZT,494.534193,24/01/2022
5775,Kenya Shilling,KES,128.78214,24/01/2022
5776,Kuwait Dinar,KWD,0.342741,24/01/2022
5777,Kyrgyzstan Som,KGS,96.133848,24/01/2022
5778,Laos Kip,LAK,12857.89324,24/01/2022
5779,Lebanon Pound,LBP,1708.409734,24/01/2022
5780,Lesotho Loti,LSL,17.090545,24/01/2022
5781,Liberia Dollar,LRD,171.646109,24/01/2022
5782,Libya Dinar,LYD,5.198033,24/01/2022
5783,Macau Pataca,MOP,9.096771,24/01/2022
5784,Macedonia Denar,MKD,61.669848,24/01/2022
5785,Malagasy Ariary,MGA,4540.48178,24/01/2022
5786,Malawi Kwacha,MWK,925.101993,24/01/2022
5787,Malaysia Ringgit,MYR,4.743439,24/01/2022
5788,Maldives Rufiyaa,MVR,17.53882,24/01/2022
5789,Mauritania Ouguiya,MRO,404.731883,24/01/2022
5790,Mauritius Rupee,MUR,49.540533,24/01/2022
5791,Mexico Peso,MXN,23.172331,24/01/2022
5792,Moldova Leu,MDL,20.468604,24/01/2022
5793,Mongolia Tugrik,MNT,3241.066321,24/01/2022
5794,Morocco Dirham,MAD,10.517935,24/01/2022
5795,Mozambique New Metical,MZN,72.364355,24/01/2022
5796,Myanmar Kyat,MMK,2016.258514,24/01/2022
5797,NL Antilles Guilder,ANG,2.043718,24/01/2022
5798,Namibia Dollar,NAD,17.090561,24/01/2022
5799,Nepal Rupee,NPR,134.981241,24/01/2022
5800,New Zealand Dollar,NZD,1.689507,24/01/2022
5801,Nicaragua Cordoba Oro,NIO,40.172746,24/01/2022
5802,Nigeria Naira,NGN,470.429916,24/01/2022
5803,North Korea Won,KPW,1020.333147,24/01/2022
5804,Norway Kroner,NOK,10.083129,24/01/2022
5805,Oman Rial,OMR,0.43627,24/01/2022
5806,Pakistan Rupee,PKR,199.956922,24/01/2022
5807,Panama Balboa,PAB,1.134009,24/01/2022
5808,Papua New Guinea Kina,PGK,3.973635,24/01/2022
5809,Paraguay Guarani,PYG,7907.947098,24/01/2022
5810,Peru Nuevo Sol,PEN,4.345504,24/01/2022
5811,Philippines Peso,PHP,58.140272,24/01/2022
5812,Poland Zloty,PLN,4.528974,24/01/2022
5813,Qatar Rial,QAR,4.127826,24/01/2022
5814,Romania New Lei,RON,4.941022,24/01/2022
5815,Russia Rouble,RUB,87.751129,24/01/2022
5816,Rwanda Franc,RWF,1150.708848,24/01/2022
5817,Samoa Tala,WST,2.961622,24/01/2022
5818,Sao Tome/Principe Dobra,STD,23465.369341,24/01/2022
5819,Saudi Arabia Riyal,SAR,4.252635,24/01/2022
5820,Serbia Dinar,RSD,117.502733,24/01/2022
5821,Seychelles Rupee,SCR,15.072882,24/01/2022
5822,Sierra Leone Leone,SLL,12844.858247,24/01/2022
5823,Singapore Dollar,SGD,1.52472,24/01/2022
5824,Solomon Islands Dollar,SBD,9.14653,24/01/2022
5825,Somali Shilling,SOS,663.216531,24/01/2022
5826,South Africa Rand,ZAR,17.120165,24/01/2022
5827,South Korea Won,KRW,1353.471289,24/01/2022
5828,Sri Lanka Rupee,LKR,229.63576,24/01/2022
5829,St Helena Pound,SHP,1.561557,24/01/2022
5830,Sudan Pound,SDG,495.994645,24/01/2022
5831,Suriname Dollar,SRD,23.923969,24/01/2022
5832,Swaziland Lilangeni,SZL,17.090517,24/01/2022
5833,Sweden Krona,SEK,10.427791,24/01/2022
5834,Syria Pound,SYP,2847.862431,24/01/2022
5835,Taiwan Dollar,TWD,31.428747,24/01/2022
5836,Tanzania Shilling,TZS,2618.854146,24/01/2022
5837,Thailand Baht,THB,37.444516,24/01/2022
5838,Tonga Pa'anga,TOP,2.571183,24/01/2022
5839,Trinidad/Tobago Dollar,TTD,7.695244,24/01/2022
5840,Tunisia Dinar,TND,3.258832,24/01/2022
5841,Turkish New Lira,TRY,15.272343,24/01/2022
5842,Uganda Shilling,UGX,3991.650113,24/01/2022
5843,Ukraine Hryvnia,UAH,32.107456,24/01/2022
5844,Uruguay Peso,UYU,50.640049,24/01/2022
5845,United Arab Emirates Dirham,AED,4.164087,24/01/2022
5846,Vanuatu Vatu,VUV,128.869657,24/01/2022
5847,Vietnam Dong,VND,25655.705645,24/01/2022
5848,Yemen Rial,YER,283.709296,24/01/2022
5849,Zambia Kwacha,ZMK,10204.697418,24/01/2022
5850,Australia Dollar,AUD,1.583318,25/01/2022
5851,Great Britain Pound,GBP,0.839885,25/01/2022
5852,Euro,EUR,1.0,25/01/2022
5853,Japan Yen,JPY,128.945297,25/01/2022
5854,Switzerland Franc,CHF,1.035509,25/01/2022
5855,USA Dollar,USD,1.132112,25/01/2022
5856,Afghanistan Afghani,AFN,118.987342,25/01/2022
5857,Albania Lek,ALL,121.247947,25/01/2022
5858,Algeria Dinar,DZD,158.184273,25/01/2022
5859,Angola Kwanza,AOA,599.904914,25/01/2022
5860,Argentina Peso,ARS,118.283031,25/01/2022
5861,Armenia Dram,AMD,545.259039,25/01/2022
5862,Aruba Florin,AWG,2.032707,25/01/2022
5863,Azerbaijan New Manat,AZN,1.919484,25/01/2022
5864,Bahamas Dollar,BSD,1.132362,25/01/2022
5865,Bahrain Dinar,BHD,0.426748,25/01/2022
5866,Bangladesh Taka,BDT,97.356605,25/01/2022
5867,Barbados Dollar,BBD,2.286362,25/01/2022
5868,Belarus Ruble,BYR,22189.39098,25/01/2022
5869,Belize Dollar,BZD,2.282535,25/01/2022
5870,Bermuda Dollar,BMD,1.132112,25/01/2022
5871,Bhutan Ngultrum,BTN,84.417583,25/01/2022
5872,Bolivia Boliviano,BOB,7.807799,25/01/2022
5873,Bosnia Mark,BAM,1.95926,25/01/2022
5874,Botswana Pula,BWP,13.060933,25/01/2022
5875,Brazil Real,BRL,6.21314,25/01/2022
5876,Brunei Dollar,BND,1.523941,25/01/2022
5877,Bulgaria Lev,BGN,1.955746,25/01/2022
5878,Burundi Franc,BIF,2278.941023,25/01/2022
5879,CFA Franc BCEAO,XOF,655.49292,25/01/2022
5880,CFA Franc BEAC,XAF,657.095651,25/01/2022
5881,CFP Franc,XPF,119.550749,25/01/2022
5882,Cambodia Riel,KHR,4605.430895,25/01/2022
5883,Canada Dollar,CAD,1.430995,25/01/2022
5884,Cape Verde Escudo,CVE,110.946802,25/01/2022
5885,Cayman Islands Dollar,KYD,0.943635,25/01/2022
5886,Chili Peso,CLP,914.021729,25/01/2022
5887,China Yuan/Renminbi,CNY,7.167289,25/01/2022
5888,Colombia Peso,COP,4501.083997,25/01/2022
5889,Comoros Franc,KMF,492.978003,25/01/2022
5890,Congo Franc,CDF,2281.205691,25/01/2022
5891,Costa Rica Colon,CRC,718.755499,25/01/2022
5892,Croatia Kuna,HRK,7.530923,25/01/2022
5893,Cuba Convertible Peso,CUC,1.132112,25/01/2022
5894,Cuba Peso,CUP,30.000962,25/01/2022
5895,Czech Koruna,CZK,24.578938,25/01/2022
5896,Denmark Krone,DKK,7.443579,25/01/2022
5897,Djibouti Franc,DJF,201.19923,25/01/2022
5898,Dominican Republich Peso,DOP,65.492429,25/01/2022
5899,East Caribbean Dollar,XCD,3.059589,25/01/2022
5900,Egypt Pound,EGP,17.7859,25/01/2022
5901,El Salvador Colon,SVC,9.907863,25/01/2022
5902,Ethiopia Birr,ETB,56.187016,25/01/2022
5903,Falkland Islands Pound,FKP,0.824087,25/01/2022
5904,Fiji Dollar,FJD,2.420686,25/01/2022
5905,Gambia Dalasi,GMD,59.605522,25/01/2022
5906,Georgia Lari,GEL,3.486777,25/01/2022
5907,Ghana New Cedi,GHS,7.104012,25/01/2022
5908,Gibraltar Pound,GIP,0.824086,25/01/2022
5909,Guatemala Quetzal,GTQ,8.722099,25/01/2022
5910,Guinea Franc,GNF,10228.629941,25/01/2022
5911,Guyana Dollar,GYD,236.94268,25/01/2022
5912,Haiti Gourde,HTG,116.535454,25/01/2022
5913,Honduras Lempira,HNL,27.793162,25/01/2022
